,KiraKira,Heart,Notes,Fire,Central line,Rain,Thunder,Lens flare,Comicalize,Blur,Change contrast,Zoom in,Zoom out
shore,0.4450010657310486,0,0,0,0,0,0,0,0,0,0,0,0
place,0.44024789333343506,0,0,0,0,0,0,0,0,0,0,0,0
rowboat,0.43918126821517944,0,0,0,0,0,0,0,0,0,0,0,0
teamwork,0.7355809211730957,0,0,0,0,0,0,0,0,0,0,0,0
wood,0.43506816029548645,0,0,0,0,0,0,0,0,0,0,0,0
seascape,0.43045860528945923,0,0,0,0,0,0,0,0,0,0,0,0
umbrella,0.43042775988578796,0,0,0,0,0,0,0,0,0,0,0,0
pier,0.42471033334732056,0,0,0,0,0,0,0,0,0,0,0,0
national,0.4241247773170471,0,0,0,0,0,0,0,0,0,0,0,0
exhibition,0.6054159104824066,0,0,0,0,0,0,0,0,0,0,0,0
culture,0.6451965272426605,0,0,0,0,0,0,0,0,0,0,0,0
motorboat,0.41142237186431885,0,0,0,0,0,0,0,0,0,0,0,0
carnival,0.40661031007766724,0,0,0,0,0,0,0,0,0,0,0,0
nautical,0.40101441740989685,0,0,0,0,0,0,0,0,0,0,0,0
editorial,0.5881878137588501,0,0,0,0,0,0,0,0,0,0,0,0
gameplan (sports),0.39816221594810486,0,0,0,0,0,0,0,0,0,0,0,0
adolescence,0.3969167470932007,0,0,0,0,0,0,0,0,0,0,0,0
season,0.3968265652656555,0,0,0,0,0,0,0,0,0,0,0,0
adolescent,1.075320839881897,0,0,0,0,0,0,0,0,0,0,0,0
canal,0.39605841040611267,0,0,0,0,0,0,0,0,0,0,0,0
game,0.3960336446762085,0,0,0,0,0,0,0,0,0,0,0,0
rest,0.39318597316741943,0,0,0,0,0,0,0,0,0,0,0,0
poolside,0.3877177834510803,0,0,0,0,0,0,0,0,0,0,0,0
car,0.3857593834400177,0,0,0,0,0,0,0,0,0,0,0,0
heat,0.3818642795085907,0,0,0,0,0,0,0,0,0,0,0,0
outside,0.38114306330680847,0,0,0,0,0,0,0,0,0,0,0,0
school,0.3807253837585449,0,0,0,0,0,0,0,0,0,0,0,0
promenade,0.3799472451210022,0,0,0,0,0,0,0,0,0,0,0,0
pastime,0.3797227442264557,0,0,0,0,0,0,0,0,0,0,0,0
education,0.938109815120697,0,0,0,0,0,0,0,0,0,0,0,0
seaside,0.3744146525859833,0,0,0,0,0,0,0,0,0,0,0,0
action energy,0.37436842918395996,0,0,0,0,0,0,0,0,0,0,0,0
house,0.6858492493629456,0,0,0,0,0,0,0,0,0,0,0,0
yacht,0.3697713613510132,0,0,0,0,0,0,0,0,0,0,0,0
building,0.3695543706417084,0,0,0,0,0,0,0,0,0,0,0,0
fast,0.3686390519142151,0,0,0,0,0,0,0,0,0,0,0,0
jaunt,0.3658004105091095,0,0,0,0,0,0,0,0,0,0,0,0
cityscape,0.3621448874473572,0,0,0,0,0,0,0,0,0,0,0,0
lagoon,0.35994094610214233,0,0,0,0,0,0,0,0,0,0,0,0
cloud,0.35900622606277466,0,0,0,0,0,0,0,0,0,0,0,0
populace,0.3586118817329407,0,0,0,0,0,0,0,0,0,0,0,0
fitness,0.35653719305992126,0,0,0,0,0,0,0,0,0,0,0,0
university,0.5773563981056213,0,0,0,0,0,0,0,0,0,0,0,0
stationary,0.34876787662506104,0,0,0,0,0,0,0,0,0,0,0,0
ocean cruise,0.34834960103034973,0,0,0,0,0,0,0,0,0,0,0,0
old,0.3480362892150879,0,0,0,0,0,0,0,0,0,0,0,0
love,1.1875371932983398,0,0,0,0,0,0,0,0,0,0,0,0
smile,0.6625916957855225,0,0,0,0,0,0,0,0,0,0,0,0
traditional,0.5656275153160095,0,0,0,0,0,0,0,0,0,0,0,0
seat,0.6735928654670715,0,0,0,0,0,0,0,0,0,0,0,0
religion,0.8023887276649475,0,0,0,0,0,0,0,0,0,0,0,0
waterfront,0.3361594080924988,0,0,0,0,0,0,0,0,0,0,0,0
reflection,0.33031100034713745,0,0,0,0,0,0,0,0,0,0,0,0
wave,0.3234182596206665,0,0,0,0,0,0,0,0,0,0,0,0
row,0.32109206914901733,0,0,0,0,0,0,0,0,0,0,0,0
portrait,1.0908014178276062,0,0,0,0,0,0,0,0,0,0,0,0
race,0.31758925318717957,0,0,0,0,0,0,0,0,0,0,0,0
lease,0.31540024280548096,0,0,0,0,0,0,0,0,0,0,0,0
flower,0.31534522771835327,0,0,0,0,0,0,0,0,0,0,0,0
famous,0.3130764961242676,0,0,0,0,0,0,0,0,0,0,0,0
athlete,0.3118551969528198,0,0,0,0,0,0,0,0,0,0,0,0
public show,0.31113091111183167,0,0,0,0,0,0,0,0,0,0,0,0
freedom,0.5125910639762878,0,0,0,0,0,0,0,0,0,0,0,0
flora,0.3097057342529297,0,0,0,0,0,0,0,0,0,0,0,0
romance,0.8016881346702576,0,0,0,0,0,0,0,0,0,0,0,0
royalty,0.3054816722869873,0,0,0,0,0,0,0,0,0,0,0,0
vitality,0.30519166588783264,0,0,0,0,0,0,0,0,0,0,0,0
sightseeing,0.3033451437950134,0,0,0,0,0,0,0,0,0,0,0,0
climate,0.29994893074035645,0,0,0,0,0,0,0,0,0,0,0,0
